time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56872.38921,I,,,,,22,Vega,,"2,4",,MJD,True
56880.38228,I,,,,,22,Vega,,"2,4",,MJD,True
56884.31151,I,,,,,22,Vega,,"2,4",,MJD,True
56887.34853,I,,,,,22,Vega,,"2,4",,MJD,True
56895.32077,I,,,,,22,Vega,,"2,4",,MJD,True
56904.26593,I,,,,,22,Vega,,"2,4",,MJD,True
56909.26787,I,,,,,22,Vega,,"2,4",,MJD,True
56915.27802,I,,,,,22,Vega,,"2,4",,MJD,True
56922.23937,I,,,,,22,Vega,,"2,4",,MJD,True
56926.22391,I,,,,,22,Vega,,"2,4",,MJD,True
56931.23080,I,,,,,22,Vega,,"2,4",,MJD,True
56938.20336,I,,,,,22,Vega,,"2,4",,MJD,True
56942.19635,I,,,,,22,Vega,,"2,4",,MJD,True
56949.23817,I,,,,,22,Vega,,"2,4",,MJD,True
56952.19068,I,,,,,22,Vega,,"2,4",,MJD,True
56955.20642,I,,,,,22,Vega,,"2,4",,MJD,True
56958.23478,I,,,,,22,Vega,,"2,4",,MJD,True
56963.14557,I,,,,,22,Vega,,"2,4",,MJD,True
56967.14825,I,,,0.573,,21.798,Vega,,"2,4",,MJD,
56972.16478,I,,,,,22,Vega,,"2,4",,MJD,True
56976.20283,I,,,,,22,Vega,,"2,4",,MJD,True
56980.16880,I,,,,,22,Vega,,"2,4",,MJD,True
56982.16730,I,,,,,22,Vega,,"2,4",,MJD,True
56985.15966,I,,,,,22,Vega,,"2,4",,MJD,True
56987.19242,I,,,,,22,Vega,,"2,4",,MJD,True
56989.20750,I,,,,,22,Vega,,"2,4",,MJD,True
56995.11174,I,,,,,22,Vega,,"2,4",,MJD,True
56998.22690,I,,,,,22,Vega,,"2,4",,MJD,True
57003.24328,I,,,,,22,Vega,,"2,4",,MJD,True
57007.13123,I,,,,,22,Vega,,"2,4",,MJD,True
57011.11322,I,,,,,22,Vega,,"2,4",,MJD,True
57014.14071,I,,,,,22,Vega,,"2,4",,MJD,True
57018.13992,I,,,,,22,Vega,,"2,4",,MJD,True
57020.11744,I,,,,,22,Vega,,"2,4",,MJD,True
57024.10608,I,,,,,22,Vega,,"2,4",,MJD,True
57029.09023,I,,,,,22,Vega,,"2,4",,MJD,True
57032.13563,I,,,,,22,Vega,,"2,4",,MJD,True
57036.10098,I,,,,,22,Vega,,"2,4",,MJD,True
57041.06559,I,,,,,22,Vega,,"2,4",,MJD,True
57046.06777,I,,,,,22,Vega,,"2,4",,MJD,True
57051.06468,I,,,,,22,Vega,,"2,4",,MJD,True
57056.03643,I,,,,,22,Vega,,"2,4",,MJD,True
